,precision,recall,f1-score,support
spelling,1.0,1.0,1.0,20.0
spending_history,0.9523809523809523,1.0,0.975609756097561,20.0
sync_device,1.0,1.0,1.0,20.0
taxes,0.9090909090909091,1.0,0.9523809523809523,20.0
tell_joke,1.0,1.0,1.0,20.0
text,0.8947368421052632,0.85,0.8717948717948718,20.0
thank_you,0.9444444444444444,0.85,0.8947368421052632,20.0
time,0.9090909090909091,1.0,0.9523809523809523,20.0
timer,1.0,1.0,1.0,20.0
timezone,1.0,1.0,1.0,20.0
tire_change,0.9090909090909091,1.0,0.9523809523809523,20.0
tire_pressure,1.0,1.0,1.0,20.0
todo_list,0.8333333333333334,0.5,0.625,20.0
todo_list_update,0.6451612903225806,1.0,0.7843137254901961,20.0
traffic,0.95,0.95,0.9500000000000001,20.0
transactions,1.0,0.85,0.9189189189189189,20.0
transfer,0.6896551724137931,1.0,0.8163265306122449,20.0
translate,0.9047619047619048,0.95,0.9268292682926829,20.0
travel_alert,1.0,1.0,1.0,20.0
travel_notification,0.9375,0.75,0.8333333333333334,20.0
travel_suggestion,1.0,0.65,0.787878787878788,20.0
uber,1.0,1.0,1.0,20.0
update_playlist,1.0,0.95,0.9743589743589743,20.0
user_name,0.7083333333333334,0.85,0.7727272727272727,20.0
vaccines,1.0,1.0,1.0,20.0
w2,0.9523809523809523,1.0,0.975609756097561,20.0
weather,0.9444444444444444,0.85,0.8947368421052632,20.0
what_are_your_hobbies,1.0,0.9,0.9473684210526316,20.0
what_can_i_ask_you,1.0,1.0,1.0,20.0
what_is_your_name,0.8260869565217391,0.95,0.8837209302325583,20.0
what_song,0.9090909090909091,1.0,0.9523809523809523,20.0
where_are_you_from,0.8260869565217391,0.95,0.8837209302325583,20.0
whisper_mode,0.9523809523809523,1.0,0.975609756097561,20.0
who_do_you_work_for,0.8636363636363636,0.95,0.9047619047619048,20.0
who_made_you,0.9090909090909091,1.0,0.9523809523809523,20.0
yes,0.7619047619047619,0.8,0.7804878048780488,20.0
accuracy,0.9156666666666666,0.9156666666666666,0.9156666666666666,0.9156666666666666
macro avg,0.9236691840048028,0.9156666666666669,0.9133853309936368,3000.0
weighted avg,0.923669184004803,0.9156666666666666,0.913385330993637,3000.0
