,precision,recall,f1-score,support
0,0.970873786407767,1.0,0.9852216748768473,100.0
1,1.0,1.0,1.0,100.0
2,1.0,1.0,1.0,100.0
3,1.0,0.96,0.9795918367346939,100.0
4,1.0,1.0,1.0,100.0
5,0.9433962264150944,1.0,0.970873786407767,100.0
6,1.0,0.95,0.9743589743589743,100.0
accuracy,0.9871428571428571,0.9871428571428571,0.9871428571428571,0.9871428571428571
macro avg,0.9877528589746944,0.9871428571428572,0.9871494674826119,700.0
weighted avg,0.9877528589746944,0.9871428571428571,0.9871494674826119,700.0
